,sugar to flour ratio,sugar index,bake temp,chill time,calories,density,pH,grams baking soda,bake time,quality,weight,crunch factor,raisins,nuts,chocolate,oats,peanut butter,butter type_melted,baking_index
585,0.3,4.5,640,20.0,110.0,0.99914,8.3,1.17,10.2,5,14.0,1.05,0,1,1,1,0,0,6528.0
586,0.38,1.1,230,42.0,104.0,0.99112,8.28,0.53,11.8,8,15.0,1.04,0,0,1,1,0,1,2714.0
587,0.03,2.6,640,21.0,92.0,0.99745,8.5,0.6,9.8,5,14.2,1.96,1,1,0,0,0,0,6272.0
588,0.21,7.2,410,48.0,146.0,0.99441,8.16,0.49,9.8,7,11.6,1.99,1,0,0,0,0,1,4018.0000000000005
589,0.3,6.95,440,42.0,179.0,0.9946,8.25,0.56,10.6,8,13.6,1.96,0,0,1,0,0,1,4664.0
590,0.02,2.0,620,37.0,53.0,0.99374,8.35,0.76,11.6,7,13.2,1.71,1,1,0,0,0,0,7192.0
591,0.38,5.1,190,22.0,82.0,0.98961,8.05,0.36,12.5,8,12.4,1.4,0,0,1,1,0,1,2375.0
592,0.24,6.7,580,41.0,166.0,0.995,8.2,0.41,9.9,8,14.6,1.88,0,1,1,0,0,1,5742.0
593,0.26,7.0,400,18.0,113.0,0.99366,8.17,0.38,10.2,8,13.0,1.48,0,0,1,0,0,1,4079.9999999999995
594,0.27,6.4,330,20.0,102.0,0.98944,8.22,0.27,13.4,10,10.8,1.28,0,1,1,0,0,1,4422.0
595,0.34,8.3,520,44.0,168.0,0.99627,8.11,0.52,9.2,7,14.8,1.95,1,0,0,0,0,1,4784.0
596,0.08,1.8,640,22.0,89.0,0.9959,8.34,0.54,9.2,6,14.0,1.84,0,1,1,1,0,0,5888.0
597,0.45,2.9,290,37.0,94.0,0.98998,8.25,0.6,12.4,8,12.4,1.92,1,0,0,0,0,1,3596.0
598,0.31,2.4,430,58.0,178.0,0.9941,8.42,0.68,10.6,8,14.8,1.9,0,0,1,0,0,1,4558.0
599,0.65,2.15,640,7.0,27.0,0.9988,8.06,0.68,11.3,6,23.8,1.93,0,1,1,0,0,0,7232.0
600,0.21,2.0,640,7.0,35.0,0.9961,8.33,0.47,9.5,5,14.6,1.8,1,0,0,0,0,0,6080.0
601,0.32,2.5,370,10.0,51.0,0.98878,8.04,0.58,12.6,8,10.8,1.72,0,0,1,1,0,1,4662.0
602,0.27,11.75,300,34.0,118.0,0.9954,8.07,0.5,9.4,8,10.0,1.45,0,0,1,0,0,1,2820.0
603,0.06,1.6,640,15.0,59.0,0.9964,8.3,0.46,9.4,5,15.8,1.82,0,1,1,1,0,0,6016.0
604,0.28,6.6,210,29.0,132.0,0.99188,8.15,0.36,11.45,9,12.2,1.61,1,0,0,0,0,1,2404.5
605,0.54,10.7,460,59.0,234.0,0.9966,8.05,0.61,9.5,7,14.0,1.02,0,0,1,0,0,1,4370.0
606,0.14,2.5,640,13.0,54.0,0.99724,8.36,0.54,10.1,5,16.6,1.96,0,0,1,0,1,0,6464.0
607,0.03,2.0,640,27.0,43.0,0.99578,8.44,0.64,10.9,6,15.2,1.37,0,1,1,1,0,0,6976.0
608,0.08,2.5,640,14.0,46.0,0.9971,8.24,0.66,9.6,6,15.4,1.41,1,1,0,0,0,0,6144.0
609,0.41,2.4,640,6.0,10.0,0.99604,8.13,0.58,11.9,7,18.0,1.15,1,0,0,0,0,0,7616.0
610,0.04,2.2,610,11.0,17.0,0.99588,8.53,0.65,10.4,6,12.8,1.84,0,1,0,1,0,0,6344.0
611,0.39,10.2,450,59.0,209.0,0.9972,8.16,0.63,9.6,8,15.0,1.96,0,0,1,0,0,1,4320.0
612,0.29,1.1,470,67.0,152.0,0.9916,8.54,0.59,11.1,9,12.0,1.23,0,0,1,1,0,1,5217.0
613,0.3,8.7,360,47.0,127.0,0.99368,8.18,0.39,10.6,7,12.0,1.01,0,0,1,0,0,1,3816.0
614,0.35,6.0,630,31.0,150.0,0.99537,8.1,0.47,9.4,8,13.2,1.19,1,0,0,0,0,1,5922.0
615,0.21,1.8,640,14.0,31.0,0.99689,8.59,0.66,9.8,5,12.8,1.85,0,1,1,1,0,0,6272.0
616,0.2,15.6,400,20.0,142.0,0.9962,8.1,0.54,10.6,7,12.8,1.16,0,0,1,0,0,1,4240.0
617,0.27,2.8,640,24.0,56.0,0.9984,8.31,0.67,10.6,6,18.6,1.82,0,1,0,1,0,0,6784.0
618,0.3,13.0,470,69.0,160.0,0.99705,8.16,0.5,9.6,8,13.6,1.42,0,0,1,0,0,1,4512.0
619,0.46,11.8,640,61.0,183.0,0.99786,7.86,0.47,9.0,7,15.4,1.18,1,0,0,0,0,1,5760.0
620,0.26,1.4,270,23.0,109.0,0.99148,8.3,0.36,10.5,8,11.8,1.31,0,1,1,0,0,1,2835.0
621,0.27,5.2,400,44.0,179.0,0.9948,8.19,0.69,9.4,8,13.0,1.4,0,0,1,0,0,1,3760.0
622,0.22,2.7,640,17.0,34.0,1.0004,8.28,0.98,9.9,6,21.4,1.83,0,1,1,1,0,0,6336.0
623,0.34,1.4,230,56.0,115.0,0.98958,8.18,0.7,11.7,8,12.8,1.92,0,0,1,0,0,1,2691.0
624,0.3,1.3,380,45.0,122.0,0.99178,8.13,0.54,10.8,9,16.8,1.13,0,0,1,0,0,1,4104.0
625,0.14,6.3,360,34.0,185.0,0.9944,8.17,0.63,9.8,7,11.8,1.44,1,0,0,0,0,1,3528.0000000000005
626,0.3,3.0,640,30.0,135.0,0.9976,8.3,0.53,9.4,5,17.2,1.42,0,1,1,0,0,0,6016.0
627,0.34,6.0,500,5.0,129.0,0.9953,8.19,0.4,9.1,7,13.6,1.69,1,0,0,0,0,1,4550.0
628,0.46,1.5,300,30.0,125.0,0.9907,8.23,0.47,12.5,8,16.0,1.97,0,0,1,0,0,1,3750.0
629,0.25,4.9,330,49.0,113.0,0.98966,8.26,0.58,13.1,9,11.4,1.93,1,0,0,0,0,1,4323.0
630,0.3,1.5,330,35.0,95.0,0.98986,8.36,0.56,12.0,9,11.8,1.22,1,0,0,0,0,1,3960.0
631,0.3,2.6,640,7.0,60.0,0.99786,7.99,1.18,10.2,5,21.6,1.93,0,0,1,0,1,0,6528.0
632,0.31,2.1,460,28.0,208.0,0.99434,8.23,0.64,9.8,7,15.6,1.82,0,0,1,0,0,1,4508.0
633,0.24,1.8,370,39.0,150.0,0.9913,8.05,0.44,11.8,9,15.2,1.08,1,0,0,0,0,1,4366.0
634,0.26,1.2,350,18.0,97.0,0.99245,8.12,0.41,9.7,8,14.8,1.14,0,0,1,0,0,1,3394.9999999999995
635,0.44,1.8,320,32.0,107.0,0.9907,8.25,0.48,12.2,9,14.2,1.32,0,0,1,0,0,1,3904.0
636,0.3,8.2,470,42.0,207.0,0.9966,8.33,0.46,9.5,8,14.6,1.9,0,0,1,0,0,1,4465.0
637,0.24,2.7,400,24.0,87.0,0.98862,7.94,0.38,13.4,10,14.2,1.42,0,1,1,0,0,1,5360.0
638,0.27,2.6,350,39.0,120.0,0.99138,8.04,0.59,11.3,9,14.6,1.38,0,0,1,0,0,1,3955.0000000000005
639,0.21,2.3,640,20.0,65.0,0.99558,8.4,0.54,10.1,6,14.0,1.71,1,0,0,0,0,0,6464.0
640,0.37,2.5,630,11.0,41.0,0.99439,8.52,0.8,12.4,7,14.4,1.79,0,0,1,0,0,0,7812.0
641,0.3,2.1,330,50.0,158.0,0.9909,8.33,0.43,12.1,9,14.4,1.14,0,0,1,0,0,1,3993.0
642,0.27,11.5,400,24.0,120.0,0.99411,8.33,0.31,10.8,8,11.4,1.1,0,0,1,0,0,1,4320.0
643,0.31,1.6,370,15.0,103.0,0.991,8.14,0.5,12.0,8,14.2,1.32,0,0,1,1,0,1,4440.0
644,0.1,1.1,480,19.0,84.0,0.9927,8.21,0.38,9.8,7,12.8,1.57,1,0,0,0,0,1,4704.0
645,0.49,1.2,310,32.0,99.0,0.9893,8.07,0.33,12.2,8,14.2,1.22,0,0,1,0,0,1,3782.0
646,0.36,15.7,450,68.0,183.0,0.99922,8.25,0.76,9.4,7,14.4,1.62,0,0,1,0,0,1,4230.0
647,0.45,1.9,520,6.0,16.0,0.9948,8.35,0.7,12.5,6,17.8,1.99,0,1,1,0,0,0,6500.0
648,0.15,6.1,420,27.0,123.0,0.99362,8.06,0.6,9.9,8,11.6,1.24,0,0,1,1,0,1,4158.0
649,0.3,5.7,350,8.0,97.0,0.9927,8.27,0.41,11.0,9,12.6,1.91,1,0,0,0,0,1,3850.0
650,0.5,13.3,530,48.0,194.0,0.9974,8.09,0.45,9.4,7,13.6,1.91,0,0,1,0,0,1,4982.0
651,0.18,15.0,400,21.0,116.0,0.99736,8.14,0.5,9.2,7,12.8,1.47,0,0,1,0,0,1,3679.9999999999995
652,0.41,2.0,440,50.0,152.0,0.9934,8.45,0.49,10.7,10,15.8,1.86,0,0,1,0,0,1,4708.0
653,0.44,13.9,500,44.0,130.0,0.99855,8.11,0.48,10.0,8,15.4,1.2,0,0,1,0,0,1,5000.0
654,0.01,2.3,640,27.0,43.0,0.9955,8.42,0.58,10.7,6,14.2,1.53,1,1,0,0,0,0,6848.0
655,0.58,1.25,340,29.0,129.0,0.98984,8.51,0.6,12.0,9,11.2,1.09,0,0,1,1,0,1,4080.0
656,0.29,1.1,410,32.0,92.0,0.99036,8.26,0.57,11.2,8,12.2,1.97,0,0,1,1,0,1,4592.0
657,0.37,7.9,470,58.0,215.0,0.99542,8.19,0.48,9.5,8,12.6,1.77,0,0,1,0,0,1,4465.0
658,0.42,11.3,490,77.0,231.0,0.9966,8.24,0.52,9.5,8,13.2,1.81,0,0,1,0,0,1,4655.0
659,0.39,2.5,640,6.0,14.0,0.99555,8.51,0.69,11.0,6,12.4,1.84,0,1,1,0,0,0,7040.0
660,0.41,4.3,360,24.0,99.0,0.9947,8.18,0.53,9.7,8,17.0,1.46,0,0,1,0,0,1,3491.9999999999995
661,0.45,12.0,490,27.0,186.0,0.9974,8.17,0.5,9.3,8,12.4,1.93,1,1,0,0,0,1,4557.0
662,0.34,1.2,450,6.0,132.0,0.99132,8.16,0.46,11.2,6,14.2,1.23,0,0,1,0,0,1,5040.0
663,0.45,1.8,640,10.0,21.0,0.99552,8.41,0.76,11.9,7,17.8,1.86,0,0,1,1,0,0,7616.0
664,0.39,2.0,640,20.0,27.0,0.99546,8.15,0.69,11.2,6,17.6,1.95,0,0,1,0,0,0,7168.0
665,0.39,1.8,640,6.0,12.0,0.99516,8.35,0.69,11.7,8,17.2,1.76,0,1,1,0,0,0,7488.0
666,0.49,2.9,640,41.0,110.0,0.9982,8.08,0.61,9.2,5,18.0,1.8,1,1,0,0,0,0,5888.0
667,0.34,14.5,390,46.0,150.0,0.995,8.38,0.5,12.5,10,14.2,1.79,1,0,0,0,0,1,4875.0
668,0.27,8.4,570,60.0,160.0,0.99257,8.16,0.36,11.8,8,14.2,1.45,0,1,1,0,0,1,6726.0
669,0.4,4.7,550,3.0,9.0,0.99738,8.38,0.66,11.6,7,17.0,1.78,1,0,0,0,0,0,6380.0
670,0.29,19.3,510,36.0,174.0,0.99911,8.14,0.5,9.0,7,12.0,1.48,0,0,1,0,0,1,4590.0
671,0.23,2.1,640,11.0,119.0,0.99538,8.36,0.7,10.9,5,13.4,1.74,0,1,1,1,0,0,6976.0
672,0.47,2.0,640,21.0,73.0,0.997,8.36,0.57,9.1,5,14.8,1.34,1,1,0,0,0,0,5824.0
673,0.36,2.3,640,10.0,48.0,0.9976,8.34,0.46,9.4,5,16.0,1.55,0,1,1,0,0,0,6016.0
674,0.46,8.4,500,58.0,180.0,0.99495,8.18,0.46,9.7,8,12.8,1.47,0,1,1,0,0,1,4850.0
675,0.52,2.0,640,15.0,54.0,1.0,8.03,0.66,10.2,5,24.2,1.35,0,1,1,0,0,0,6528.0
676,0.25,2.5,280,24.0,84.0,0.9909,8.14,0.36,11.7,8,13.4,1.05,1,0,0,0,0,1,3276.0
677,0.3,2.0,310,13.0,128.0,0.9917,8.19,0.49,11.4,7,14.2,1.77,0,0,1,0,0,1,3534.0
678,0.23,8.5,510,20.0,138.0,0.9943,8.03,0.42,10.7,7,13.0,1.61,1,0,0,0,0,1,5457.0
679,0.31,13.55,530,20.0,113.0,0.99544,8.2,0.56,11.0,8,13.0,1.65,1,0,0,0,0,1,5830.0
680,0.49,7.8,350,22.0,95.0,0.9935,8.04,0.34,12.0,8,16.8,1.21,0,0,1,0,0,1,4200.0
681,0.41,12.9,440,79.5,183.0,0.99742,8.24,0.78,10.2,8,13.6,1.86,0,0,1,1,0,1,4488.0
682,0.28,3.2,370,29.0,119.0,0.9908,8.25,0.65,12.4,10,13.0,1.83,1,0,0,0,0,1,4588.0
683,0.38,1.7,370,20.0,84.0,0.99046,8.09,0.53,11.4,8,13.4,1.22,0,0,1,1,0,1,4218.0
684,0.66,6.2,640,6.0,24.0,0.9988,8.11,0.99,13.3,6,22.8,1.82,0,1,1,1,0,0,8512.0
685,0.26,6.8,340,36.0,120.0,0.99188,8.38,0.4,11.5,8,10.2,1.99,1,0,0,0,0,1,3910.0
686,0.3,2.1,470,35.0,147.0,0.9886,8.24,0.56,13.4,8,13.6,1.81,1,0,0,0,0,1,6298.0
687,0.3,11.3,260,11.0,77.0,0.99381,8.13,0.55,12.8,9,13.2,1.5,0,0,1,0,0,1,3328.0
688,0.01,2.3,640,27.0,43.0,0.9955,8.42,0.58,10.7,6,14.2,1.81,1,1,0,0,0,0,6848.0
689,0.36,1.3,360,40.0,117.0,0.9934,8.27,0.95,9.5,9,13.8,1.68,0,0,1,1,0,1,3420.0
690,0.49,1.2,360,20.0,99.0,0.99,8.05,0.28,12.1,9,15.6,1.38,0,0,1,0,0,1,4356.0
691,0.0,2.3,640,17.0,26.0,0.99783,8.45,0.53,9.5,5,14.2,1.82,0,1,1,1,0,0,6080.0
692,0.25,8.0,360,21.0,124.0,0.99362,8.06,0.38,10.8,8,13.2,1.13,1,0,0,0,0,1,3888.0000000000005
693,0.42,6.4,640,39.0,212.0,0.9958,8.3,0.33,9.6,8,14.8,1.94,0,0,1,1,0,1,6144.0
694,0.3,2.0,330,28.0,92.0,0.99225,8.39,0.69,10.9,9,11.8,1.11,0,0,1,0,0,1,3597.0
695,0.33,1.7,290,24.0,111.0,0.99,8.24,0.5,12.1,8,12.4,1.54,0,0,1,0,0,1,3509.0
696,0.27,2.6,350,32.0,76.0,0.9914,8.21,0.76,11.3333,8,13.0,1.86,0,0,1,1,0,1,3966.6549999999997
697,0.29,4.1,300,31.0,100.0,0.9911,8.0,0.32,12.8,9,16.4,1.07,0,1,1,0,0,1,3840.0
698,0.03,7.8,640,6.0,12.0,0.9963,8.52,0.5,12.2,5,13.2,1.6,0,0,1,0,1,0,7808.0
699,0.28,8.7,450,37.0,222.0,0.9954,8.25,0.54,10.4,8,14.0,1.75,0,0,1,0,0,1,4680.0
700,0.27,5.2,390,35.0,96.0,0.99129,8.16,0.44,12.4,9,13.4,1.17,0,1,1,0,0,1,4836.0
701,0.33,8.1,240,47.0,202.0,0.99558,8.13,0.46,10.8,8,17.8,1.45,0,0,1,0,0,1,2592.0
702,0.09,2.3,490,17.0,99.0,0.9937,8.63,0.63,13.0,5,11.2,1.07,1,1,0,0,0,0,6370.0
703,0.27,2.0,640,23.0,55.0,0.99471,8.78,0.64,12.3,7,10.8,1.49,0,1,1,0,0,0,7872.0
704,0.71,4.4,640,6.0,15.0,0.9984,8.01,0.83,11.8,7,23.0,1.3,1,1,0,0,0,0,7552.0
705,0.46,11.75,370,61.0,212.0,0.9971,8.25,0.53,9.5,8,12.6,1.78,0,0,1,0,0,1,3515.0
706,0.18,2.3,500,22.0,145.0,0.99207,8.24,0.46,10.3,7,10.8,1.38,0,0,1,0,0,1,5150.0
707,0.28,9.8,390,29.0,113.0,0.99406,8.11,0.45,10.9,9,13.6,1.77,0,0,1,1,0,1,4251.0
708,0.32,1.5,500,17.0,101.0,0.994,8.14,0.58,9.5,7,16.4,1.06,0,0,1,1,0,1,4750.0
709,0.37,1.1,400,37.0,114.0,0.9905,8.0,0.39,10.9,8,12.6,1.34,0,0,1,0,0,1,4360.0
710,0.44,14.4,480,29.0,228.0,0.99955,8.26,0.54,8.8,9,12.8,1.27,0,1,1,0,0,1,4224.0
711,0.16,7.9,440,48.0,197.0,0.99512,8.21,0.36,9.4,7,11.4,1.16,0,0,1,0,0,1,4136.0
712,0.0,2.3,640,6.0,12.0,0.99551,8.56,0.51,10.8,5,13.0,1.37,0,0,1,0,1,0,6912.0
713,0.4,2.4,640,8.0,19.0,0.9963,8.56,0.73,10.6,6,12.8,1.82,0,1,1,0,0,0,6784.0
714,0.72,1.1,610,7.0,151.0,0.993,8.09,0.57,9.5,6,13.0,1.15,1,0,0,0,0,1,5795.0
715,0.26,2.2,600,28.0,65.0,0.9959,8.3,0.43,10.1,5,16.4,1.83,1,1,0,0,0,0,6060.0
716,0.29,4.1,260,19.0,101.0,0.9918,8.01,0.38,12.4,7,17.2,1.0,0,1,1,0,0,1,3224.0
717,0.28,2.7,340,23.0,111.0,0.99405,8.35,0.64,10.2,6,14.2,1.47,0,0,1,0,0,1,3467.9999999999995
718,0.28,2.5,390,34.0,137.0,0.98946,8.22,0.38,12.7,8,12.8,1.69,1,0,0,0,0,1,4953.0
719,0.1,8.3,640,23.0,188.0,0.9972,8.4,0.47,9.2,6,14.0,1.41,1,1,0,0,0,1,5888.0
720,0.35,9.2,440,53.0,186.0,0.997,8.09,0.56,9.5,9,16.0,1.23,0,0,1,0,0,1,4180.0
721,0.27,1.6,460,32.0,113.0,0.9924,8.41,0.51,10.5,9,12.0,1.18,0,0,1,0,0,1,4830.0
722,0.08,1.9,640,15.0,27.0,0.9967,8.32,0.54,9.5,6,15.4,1.51,0,1,1,1,0,0,6080.0
723,0.2,7.8,640,29.0,79.0,0.9977,8.29,0.54,9.2,5,13.2,1.68,0,1,0,1,0,0,5888.0
724,0.28,0.9,450,32.0,87.0,0.99175,8.47,0.52,11.2,8,12.8,1.89,0,0,1,1,0,1,5040.0
725,0.39,6.2,390,46.0,163.0,0.9928,8.21,0.35,12.2,9,14.0,1.96,0,1,1,0,0,1,4758.0
726,0.26,2.3,300,11.0,103.0,0.99106,8.06,0.42,11.1,8,13.8,1.86,1,0,0,0,0,1,3330.0
727,0.37,6.2,270,24.0,97.0,0.992,8.38,0.49,12.2,9,13.8,1.35,0,0,1,0,0,1,3294.0
728,0.34,7.1,370,33.0,150.0,0.9962,8.1,0.45,9.7,8,17.8,1.16,0,0,1,0,0,1,3588.9999999999995
729,0.29,9.9,560,30.0,91.0,0.99512,8.19,0.33,9.9,8,13.8,1.58,0,0,1,1,0,1,5544.0
730,0.56,2.1,640,6.0,24.0,0.99925,8.14,0.71,10.9,6,24.0,1.83,1,0,0,0,0,0,6976.0
731,0.44,6.35,240,9.0,87.0,0.9917,7.96,0.4,12.6,9,17.6,1.3,1,0,0,0,0,1,3024.0
732,0.33,1.6,280,13.0,59.0,0.98975,8.3,0.84,11.9,10,10.4,1.59,0,0,1,1,0,1,3332.0
733,0.26,1.5,400,32.0,172.0,0.99194,8.27,0.48,11.2,8,14.6,1.25,0,0,1,0,0,1,4480.0
734,0.44,2.4,640,5.0,12.0,0.9994,8.19,0.63,9.5,6,20.6,1.71,0,1,1,0,0,0,6080.0
735,0.32,9.6,520,24.0,90.0,0.9963,8.35,0.49,9.4,8,12.8,1.09,0,0,1,1,0,1,4888.0
736,0.49,18.15,420,41.0,158.0,0.9997,8.28,0.39,8.7,8,13.2,1.43,0,0,1,0,0,1,3653.9999999999995
737,0.35,17.5,390,38.0,153.0,0.9994,8.24,0.42,9.0,8,13.6,1.8,0,0,1,0,0,1,3510.0
738,0.36,7.0,360,43.0,161.0,0.9938,8.04,0.32,11.0,7,15.0,1.39,0,0,1,0,0,1,3960.0
739,0.29,16.95,560,48.0,179.0,0.9998,8.45,0.4,9.6,7,13.6,1.72,0,0,1,0,0,1,5376.0
740,0.32,12.2,540,42.0,138.0,0.9984,8.01,0.54,8.8,7,15.6,1.75,0,0,1,0,0,1,4752.0
741,0.16,1.4,380,122.5,234.5,0.9922,8.15,0.47,10.0,6,13.6,1.89,0,0,1,0,0,1,3800.0
742,0.16,7.9,440,48.0,197.0,0.99512,8.21,0.36,9.4,7,11.8,1.39,0,0,1,0,0,1,4136.0
743,0.35,8.8,370,31.0,103.0,0.99388,8.13,0.49,11.0,8,14.0,1.61,0,0,1,0,0,1,4070.0
744,0.34,1.3,350,11.0,126.0,0.99232,8.14,0.5,9.8,8,16.2,1.36,0,0,1,0,0,1,3430.0000000000005
745,0.49,1.6,500,17.0,131.0,0.9956,8.13,0.34,9.4,7,17.8,1.66,1,0,0,0,0,1,4700.0
746,0.26,8.2,540,47.0,182.0,0.99538,8.12,0.5,9.5,7,12.8,1.82,0,0,1,0,0,1,5130.0
747,0.25,2.5,640,8.0,111.0,0.9927,8.0,0.44,9.9,6,13.0,1.51,0,0,1,0,0,1,6336.0
748,0.3,1.4,420,26.0,176.0,0.9954,8.15,0.46,9.1,7,18.8,1.17,0,0,1,1,0,1,3822.0
749,0.29,2.9,350,15.0,101.0,0.98916,8.04,0.37,12.5,8,13.2,1.47,1,0,0,0,0,1,4375.0
750,0.12,1.4,350,60.0,247.0,0.99358,8.34,0.44,9.6,8,11.8,1.91,0,0,1,0,0,1,3360.0
751,0.2,13.9,540,63.0,229.0,0.99888,8.11,0.5,8.9,8,14.8,1.95,1,0,0,0,0,1,4806.0
752,0.49,2.1,640,5.0,16.0,0.9994,8.16,0.63,8.4,3,20.8,1.08,0,1,1,1,0,0,5376.0
753,0.49,9.4,480,50.0,149.0,0.9962,8.17,0.59,10.5,9,15.0,1.48,0,0,1,0,0,1,5040.0
754,0.29,4.9,210,38.0,113.0,0.99026,8.08,0.48,13.0,9,15.0,1.81,1,0,0,0,0,1,2730.0
755,0.25,7.8,310,24.0,116.0,0.99241,8.39,0.4,11.3,8,10.0,1.08,1,0,0,0,0,1,3503.0
756,0.2,11.4,440,45.0,131.0,0.99604,7.96,0.51,9.7,8,13.2,1.2,0,0,1,0,0,1,4268.0
757,0.33,4.0,340,17.0,127.0,0.9934,8.19,0.39,10.6,9,14.0,1.75,0,0,1,1,0,1,3604.0
758,0.52,1.9,640,9.0,23.0,0.99648,8.36,0.67,10.4,5,17.0,1.81,0,0,1,0,0,0,6656.0
759,0.51,7.9,560,49.0,206.0,0.9956,8.18,0.52,9.4,7,12.4,1.58,0,0,1,0,0,1,5264.0
760,0.48,1.5,360,35.0,165.0,0.99162,8.18,0.45,11.3,8,13.6,1.93,0,0,1,0,0,1,4068.0000000000005
761,0.48,19.45,480,55.0,243.0,1.001,7.95,0.4,8.8,7,15.0,1.35,1,0,0,0,0,1,4224.0
762,0.47,2.2,640,14.0,138.0,0.9932,8.09,0.5,9.1,7,11.8,1.79,1,0,0,0,0,1,5824.0
763,0.34,1.6,490,14.0,132.0,0.994,8.3,0.49,9.5,8,12.6,1.22,1,0,0,0,0,1,4655.0
764,0.3,7.3,390,39.0,104.0,0.99252,7.91,0.57,11.0,8,12.0,1.74,0,0,1,1,0,1,4290.0
765,0.36,17.2,390,37.0,130.0,0.99946,8.23,0.43,8.8,8,12.4,1.88,0,0,1,0,0,1,3432.0000000000005
766,0.42,2.0,640,9.0,21.0,0.99526,8.39,0.66,11.6,6,15.6,1.04,1,0,0,0,0,0,7424.0
767,0.19,9.3,430,28.0,145.0,0.99433,8.23,0.53,10.98,7,12.8,1.52,0,1,1,0,0,1,4721.400000000001
768,0.3,2.0,620,18.0,34.0,0.9952,8.28,0.9,11.3,7,15.4,1.99,0,0,1,0,0,0,7006.0
769,0.24,15.6,640,44.0,229.0,0.99785,8.03,0.59,10.5,8,15.8,1.02,1,0,0,0,0,1,6720.0
770,0.35,4.8,300,34.0,101.0,0.9912,8.36,0.6,12.5,10,12.8,1.89,1,0,0,0,0,1,3750.0
771,0.21,2.1,640,33.0,141.0,0.9962,8.25,0.51,9.9,5,15.8,1.52,0,1,1,1,0,0,6336.0
772,0.21,4.0,500,24.0,133.0,0.99418,8.06,0.38,9.7,7,16.0,1.39,0,1,0,1,0,1,4850.0
773,0.33,3.7,290,30.0,88.0,0.98994,8.25,0.42,12.3,8,11.6,1.81,0,0,1,0,0,1,3567.0
774,0.5,1.5,450,30.0,133.0,0.99104,8.25,0.48,11.7,7,13.2,1.11,0,1,0,1,0,1,5265.0
775,0.01,1.9,640,40.0,54.0,0.99683,8.4,0.73,9.7,5,13.8,1.76,1,1,0,0,0,0,6208.0
776,0.64,11.8,640,65.0,225.0,0.9978,8.12,0.51,8.9,7,13.0,1.52,0,1,1,0,0,1,5696.0
777,0.23,2.1,640,17.0,96.0,0.9962,8.32,0.48,9.5,5,15.4,1.4,0,1,1,1,0,0,6080.0
778,0.29,4.8,600,27.0,156.0,0.99572,8.49,0.59,10.3,8,15.4,1.01,0,0,1,0,0,1,6180.0
779,0.52,15.7,540,36.0,139.0,0.99788,8.04,0.62,10.0333,8,14.8,1.65,0,0,1,0,0,1,5417.982
780,0.21,2.1,510,46.0,171.0,0.9932,8.16,0.5,9.5,7,12.8,1.09,1,0,0,0,0,1,4845.0
781,0.34,1.0,330,27.0,73.0,0.98974,8.24,0.41,12.2,8,14.2,1.05,0,0,1,1,0,1,4025.9999999999995
782,0.43,1.5,440,28.0,129.0,0.9938,8.22,0.45,11.0,8,16.2,1.25,0,0,1,0,0,1,4840.0
783,0.2,1.9,640,28.0,54.0,0.9956,8.37,0.64,10.4,6,14.2,1.86,0,1,1,0,0,0,6656.0
784,0.45,10.4,600,22.0,184.0,0.99711,8.31,0.56,9.8,8,12.4,1.38,1,0,0,0,0,1,5880.0
785,0.3,14.9,370,70.0,169.0,0.99698,8.25,0.37,10.4,8,14.8,1.53,1,0,0,0,0,1,3848.0
786,0.3,13.3,490,46.0,120.0,0.99704,8.2,0.36,9.5,9,14.0,1.37,0,0,1,1,0,1,4655.0
787,0.0,1.7,440,14.0,86.0,0.99264,8.56,0.94,12.9,7,10.2,1.67,1,1,0,0,0,0,5676.0
788,0.39,2.0,570,21.0,138.0,0.99176,8.05,0.52,10.9,7,15.8,1.22,0,0,1,0,0,1,6213.0
789,0.48,1.9,640,6.0,10.0,0.99724,8.33,0.87,10.9,6,20.8,2.0,0,0,1,0,0,0,6976.0
790,0.24,17.8,590,23.0,124.0,0.99773,8.3,0.5,10.1,7,11.4,1.18,0,0,1,0,0,1,5959.0
791,0.17,2.4,640,6.0,18.0,0.9961,8.4,0.59,10.3,6,13.8,1.23,0,1,1,1,0,0,6592.0
792,0.12,2.2,640,7.0,23.0,0.9964,8.35,0.65,10.2,7,15.4,1.71,1,0,0,1,0,0,6528.0
793,0.53,2.1,640,19.0,76.0,0.99001,7.93,0.57,12.9,7,18.0,1.42,1,0,0,0,0,1,8256.0
794,0.32,10.65,530,53.0,145.0,0.9972,8.17,0.48,10.2,8,16.4,1.61,0,0,1,0,0,1,5406.0
795,0.2,5.3,640,57.0,181.0,0.99459,8.24,0.43,9.5,8,12.8,1.59,1,0,0,0,0,1,6080.0
796,0.31,2.0,300,38.0,142.0,0.98892,8.4,0.41,12.9,9,11.8,1.01,1,0,0,0,0,1,3870.0
797,0.49,2.3,640,47.0,133.0,0.9979,8.38,0.99,9.8,5,16.4,1.71,1,0,0,0,0,0,6272.0
798,0.27,1.6,570,45.0,98.0,0.99299,8.29,0.44,9.9,9,14.8,1.22,0,0,1,0,0,1,5643.0
799,0.32,9.0,360,34.0,115.0,0.9952,8.17,0.39,10.3,9,15.6,1.72,0,0,1,0,0,1,3708.0000000000005
800,0.3,11.8,430,53.0,133.0,0.99524,8.03,0.58,10.4,8,13.6,1.0,0,0,1,0,0,1,4472.0
